orderid,saleamount,profitrate,profit,shippingdate,country,district,city,subclass,customer,discount,num,province,class,type,orderdate
US-2018-1357144,130,-47%,-61,2018/4/29,中国,华东,杭州,用品,曾惠,0.40 ,2,浙江,办公用品,公司,2018/4/27
CN-2018-1973789,125,34%,43,2018/6/19,中国,西南,内江,信封,许安,0.00 ,2,四川,办公用品,消费者,2018/6/15
CN-2018-1973789,32,13%,4,2018/6/19,中国,西南,内江,装订机,许安,0.40 ,2,四川,办公用品,消费者,2018/6/15
US-2018-3017568,321,-8%,-27,2018/12/13,中国,华东,镇江,用品,宋良,0.40 ,4,江苏,办公用品,公司,2018/12/9
CN-2017-2975416,1376,40%,550,2017/6/2,中国,中南,汕头,器具,万兰,0.00 ,3,广东,办公用品,消费者,2017/5/31
CN-2016-4497736,11130,34%,3784,2016/10/31,中国,华东,景德镇,设备,俞明,0.00 ,9,江西,技术,消费者,2016/10/27
CN-2016-4497736,480,36%,173,2016/10/31,中国,华东,景德镇,装订机,俞明,0.00 ,2,江西,办公用品,消费者,2016/10/27
CN-2016-4497736,8660,31%,2684,2016/10/31,中国,华东,景德镇,椅子,俞明,0.00 ,4,江西,家具,消费者,2016/10/27
CN-2016-4497736,588,8%,47,2016/10/31,中国,华东,景德镇,纸张,俞明,0.00 ,5,江西,办公用品,消费者,2016/10/27
CN-2016-4497736,154,22%,34,2016/10/31,中国,华东,景德镇,系固件,俞明,0.00 ,2,江西,办公用品,消费者,2016/10/27
CN-2015-4195213,434,1%,4,2015/12/24,中国,西北,榆林,设备,谢雯,0.00 ,2,陕西,技术,小型企业,2015/12/22
CN-2018-5801711,2369,27%,640,2018/6/6,中国,东北,哈尔滨,复印机,康青,0.00 ,4,黑龙江,技术,消费者,2018/6/1
CN-2016-2752724,684,13%,89,2016/6/9,中国,华东,青岛,信封,赵婵,0.00 ,3,山东,办公用品,消费者,2016/6/5
CN-2016-2752724,1327,26%,344,2016/6/9,中国,华东,青岛,配件,赵婵,0.00 ,5,山东,技术,消费者,2016/6/5
CN-2016-2752724,5937,48%,2849,2016/6/9,中国,华东,青岛,电话,赵婵,0.00 ,2,山东,技术,消费者,2016/6/5
US-2017-2511714,10336,-38%,-3963,2017/11/25,中国,华东,徐州,器具,刘斯云,0.40 ,7,江苏,办公用品,公司,2017/11/22
US-2017-2511714,85,45%,38,2017/11/25,中国,华东,徐州,标签,刘斯云,0.00 ,3,江苏,办公用品,公司,2017/11/22
CN-2018-5631342,2330,46%,1071,2018/10/4,中国,华东,上海,配件,白鹄,0.00 ,7,上海,技术,消费者,2018/10/2
CN-2018-5631342,86,28%,24,2018/10/4,中国,华东,上海,用品,白鹄,0.00 ,1,上海,办公用品,消费者,2018/10/2
CN-2018-5631342,138,2%,2,2018/10/4,中国,华东,上海,装订机,白鹄,0.00 ,5,上海,办公用品,消费者,2018/10/2
CN-2018-5631342,397,32%,127,2018/10/4,中国,华东,上海,装订机,白鹄,0.00 ,6,上海,办公用品,消费者,2018/10/2
CN-2018-5631342,2133,45%,959,2018/10/4,中国,华东,上海,电话,白鹄,0.00 ,7,上海,技术,消费者,2018/10/2
CN-2018-5631342,4474,26%,1163,2018/10/4,中国,华东,上海,复印机,白鹄,0.00 ,3,上海,技术,消费者,2018/10/2
CN-2018-5631342,270,44%,119,2018/10/4,中国,华东,上海,用品,白鹄,0.00 ,2,上海,办公用品,消费者,2018/10/2
US-2017-4150614,1638,-28%,-464,2017/6/14,中国,华东,温岭,书架,贾彩,0.40 ,4,浙江,家具,公司,2017/6/7
US-2017-4150614,1205,5%,60,2017/6/14,中国,华东,温岭,椅子,贾彩,0.40 ,3,浙江,家具,公司,2017/6/7
US-2017-4150614,199,-9%,-17,2017/6/14,中国,华东,温岭,系固件,贾彩,0.40 ,5,浙江,办公用品,公司,2017/6/7
US-2017-4150614,249,-24%,-59,2017/6/14,中国,华东,温岭,系固件,贾彩,0.40 ,8,浙江,办公用品,公司,2017/6/7
US-2017-4150614,389,-47%,-182,2017/6/14,中国,华东,温岭,用品,贾彩,0.40 ,6,浙江,办公用品,公司,2017/6/7
US-2017-4150614,692,-5%,-35,2017/6/14,中国,华东,温岭,配件,贾彩,0.40 ,1,浙江,技术,公司,2017/6/7
US-2017-4150614,106,-9%,-9,2017/6/14,中国,华东,温岭,用具,贾彩,0.40 ,2,浙江,家具,公司,2017/6/7
CN-2018-4364300,159,46%,73,2018/12/15,中国,华东,上海,装订机,马丽,0.00 ,5,上海,办公用品,消费者,2018/12/12
CN-2018-3230180,1273,46%,585,2018/10/2,中国,华北,唐山,收纳具,宋栋,0.00 ,2,河北,办公用品,公司,2018/9/28
CN-2018-3230180,1738,46%,799,2018/10/2,中国,华北,唐山,椅子,宋栋,0.00 ,5,河北,家具,公司,2018/9/28
US-2017-1966627,1390,-35%,-487,2017/11/23,中国,华东,宁波,书架,巩虢,0.40 ,4,浙江,家具,公司,2017/11/19
CN-2017-1190387,399,0%,0,2017/3/1,中国,华东,上海,用具,常松,0.00 ,5,上海,家具,消费者,2017/2/28
